Name of Facility,Location Street,Location City,Location State,ZIP Code,County,Facility #,Admin Name & Phone,Facility Email,Fac. Cont. Email,License / Expiration,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Alzheimer Unit,Alzheimer Care,# of Licensed Beds,Max # of Beds,X,Y,Permit Type,x,y
PENDLETON MANOR,414 SUMMIT DR,GREENVILLE,SC,29609-4821,Greenville,864-271-7562, PH#: ,REATHA@PENDLETONMANOR.COM,,CRC-1455 / 08/31/2021,Greenville / Ltd. Liability,414 SUMMIT DR,GREENVILLE,SC,29609-4821,GREENVILLE RETIREMENT PROPERTIES LLC,Y,Y,65,65,-82.38308098,34.87421577,HLRESIDENTIALCARE,373594.4569,3859966.66
PETTIS ANGELS RESIDENTIAL CARE,2614 MADDEN DR,NORTH CHARLESTON,SC,29405-5529,Charleston,843-308-9413,"PETTIS, ETHEL S. PH#: 843-308-9413",SPETTIS@KNOLOGY.NET,SPETTIS@KNOLOGY.NET,CRC-0850 / 01/31/2022,Charleston / Sole Proprietorship,3879 WALNUT ST,CHARLESTON,SC,29405-7050,"PETTIS, ETHEL S.",N,N,5,5,-79.99272161,32.85225047,HLRESIDENTIALCARE,594254.2835,3635357.085
PHOENIX AT GREER,715 S BUNCOMBE RD,GREER,SC,29650-2208,Greenville,864-469-0409, PH#: ,JACKIE.MAGNES@PHOENIXSRLIVING.COM,,CRC-2146 / 11/30/2021,Greenville / Limited Liability,,,,,PHOENIX AT GREER LLC,Y,Y,110,,-82.241891,34.925248,HLRESIDENTIALCARE,386569.4765,3865457.295
PIEDMONT PATHWAYS COMMUNITY RESIDENTIAL CARE FACILITY,5640 LOWER RICHLAND BLVD,HOPKINS,SC,29061-9525,Richland,803-783-2273,"SCOTT, GWENDOLYN PH#: 803-783-2273",GWENDOLYN.SCOTT@SCDMH.ORG,GWENDOLYN.SCOTT@SCDMH.ORG,CRC-2134 / 06/30/2021,Richland / State,,,,,SC DEPARTMENT OF MENTAL HEALTH,N,N,15,,-80.875187,33.918902,HLRESIDENTIALCARE,511537.2324,3753171.043
PINEDALE RESIDENTIAL CENTER,798 HERMITAGE POND RD,CAMDEN,SC,29020-9534,Kershaw,803-432-9900,"HUDSON, PHILLIP E. PH#: 803-432-9900",PHUDSON83@YAHOO.COM,PHUDSON@PINEDALERESIDENTIAL.COM,CRC-0460 / 02/28/2021,Kershaw / Corporation,PO BOX 331,CAMDEN,SC,29021-0331,SHARECARE CORPORATION,N,N,50,35,-80.5468209,34.24243419,HLRESIDENTIALCARE,541731.0029,3789129.996
PINEWOOD PLACE,101 CENTENNIAL BLVD,GOOSE CREEK,SC,29445-7079,Berkeley,843-569-2520,"KOVACH, AMY PH#: ",AKOVACH@ENLIVANT.COM,,CRC-1406 / 11/30/2021,Berkeley / Limited Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,PINEWOOD AID OPCO LLC,N,N,44,44,-80.06600002,33.01699997,HLRESIDENTIALCARE,587235.2324,3653559.015
PLACE AT SHADOW OAKS,108 GREGG AVE,AIKEN,SC,29801-6816,Aiken,803-643-0300,"AYE-FRISON, STEPHANIE L. PH#: 803-643-0300",STEPHANIEFRISON@SHADOW-OAKS.COM,STEPHANIELFRISON0223@GMAIL.COM,CRC-2175 / 01/31/2022,Aiken / Limited Liability,,,,,PLACE AT SHADOW OAKS LLC,Y,Y,56,,-81.758844,33.565984,HLRESIDENTIALCARE,429567.3143,3714292.716
PONDVIEW RESIDENTIAL CARE HOME #1,5342 HARDSCRABBLE RD,BLYTHEWOOD,SC,29016-9171,Richland,803-735-0420,"THOMAS, KATHERINE PH#: 803-735-0420",ADMIN@UNIVERSALCARESOLUTIONS.COM,ADMIN@UNIVERSALCARESOLUTIONS.COM,CRC-0378 / 04/30/2022,Richland / Sole Proprietorship,PO BOX 544,BLYTHEWOOD,SC,29016-0544,"THOMAS, KATHERINE W.",N,N,12,14,-80.90617574,34.19125262,HLRESIDENTIALCARE,508645.0018,3783365.997
PONDVIEW RESIDENTIAL CARE HOME #2,5338 HARDSCRABBLE RD,BLYTHEWOOD,SC,29016-9171,Richland,803-735-0420,"THOMAS, KATHERINE W. PH#: 803-735-0420",ADMIN@UNIVERSALCARESOLUTIONS.COM,ADMIN@UNIVERSALCARESOLUTIONS.COM,CRC-1190 / 11/30/2021,Richland / Sole Proprietorship,PO BOX 544,BLYTHEWOOD,SC,29016-0544,"THOMAS, KATHERINE W.",N,N,5,7,-80.90618377,34.19122427,HLRESIDENTIALCARE,508644.2653,3783362.852
PORTSIDE AT GRANDE DUNES,901 PORTSIDE DR,MYRTLE BEACH,SC,29572,Horry,843-999-2494, PH#: ,ADMINISTRATOR@PORTSIDEGRANDEDUNES.COM,,CRC-1995 / 02/28/2022,Horry / Limited Liability,7420 BRIDGEPORT RD STE 105,PORTLAND,OR,97224,PORTSIDE RESIDENCES LLC,Y,Y,120,,-78.8030236,33.7596856,HLRESIDENTIALCARE,702543.4365,3737552.417
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-CLINTON,801 MUSGROVE ST,CLINTON,SC,29325-1796,Laurens,864-833-5190,"PRIDMORE, ROBERT P. PH#: 864-833-5190",PAUL.PRIDMORE@PRESCOMM.ORG,PAUL.PRIDMORE@PRESCOMM.ORG,CRC-0014 / 04/30/2022,Laurens / Non-Profit Corporation,801 MUSGROVE ST,CLINTON,SC,29325-1796,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,55,81,-81.87427782,34.48477046,HLRESIDENTIALCARE,419722.7382,3816255.284
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-COLUMBIA,700 DAVEGA DR,LEXINGTON,SC,29073-9698,Lexington,803-796-8700,"BASILE, JASON PH#: 803-796-8700",JASON.BASILE@PRESCOMM.ORG,JASON.BASILE@PRESCOMM.ORG,CRC-0387 / 06/30/2021,Lexington / Non-Profit Corporation,700 DAVEGA DR,LEXINGTON,SC,29073-9698,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,91,58,-81.12954037,34.02224697,HLRESIDENTIALCARE,488040.3435,3764630.246
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FLORENCE,2350 W LUCAS ST,FLORENCE,SC,29501-1201,Florence,843-665-2222,"PRINCE, BENJAMIN A. PH#: 864-685-2222; SCOTT, MEREDITH PH#: 843-665-2222",MEREDITH.SCOTT@PRESCOMM.ORG,BEN.PRINCE@PRESCOMM.ORG,CRC-0242 / 09/30/2021,Florence / Corporation,2350 W LUCAS ST,FLORENCE,SC,29501-1201,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,47,34,-79.80958455,34.23672235,HLRESIDENTIALCARE,609629.3199,3789044.585
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-FOOTHILLS,205 BUD NALLEY DR,EASLEY,SC,29642,Pickens,864-859-3367, PH#: ,LESLIE.FRYAR@PRESCOMM.ORG,,CRC-1030 / 07/31/2021,Pickens / Non-Profit Corporation,,,,,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,Y,Y,52,32,-82.54055426,34.79826092,HLRESIDENTIALCARE,359071.752,3851752.732
PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA-SUMMERVILLE,201 W 9TH NORTH ST,SUMMERVILLE,SC,29483-6721,Dorchester,843-873-2550,"BARRESI, TIMOTHY J. PH#: 843-873-2550",TIM.BARRESI@PRESCOMM.ORG,TIM.BARRESI@PRESCOMM.ORG,CRC-0245 / 09/30/2021,Dorchester / Non-Profit Corporation,201 W 9TH NORTH ST OFC 140,SUMMERVILLE,SC,29483-6701,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,N,N,114,114,-80.16812989,33.03323019,HLRESIDENTIALCARE,577681.8121,3655278.279
PRESIDENTIAL COMMUNITY CARE HOME FACILITY,2019 HACKEMANN AVE,NORTH CHARLESTON,SC,29405-8323,Charleston,843-459-2149,"PRESIDENT, TESSIE J. PH#: 843-459-2149",PRESIDENTIALCRCF@GMAIL.COM,PRESIDENTIALCRCF@GMAIL.COM,CRC-1869 / 02/28/2022,Charleston / Limited Liability,2015 RIVERVIEW AVE,NORTH CHARLESTON,SC,29405,PRESIDENTIAL COMMUNITY CARE HOME FACILITY LLC,N,N,5,,-79.960634,32.840862,HLRESIDENTIALCARE,597269.4976,3634123.629
QUALITY CARE RESIDENTIAL HOME,107 ETLING AVE,GOOSE CREEK,SC,29445-3001,Berkeley,843-863-0209, PH#: ,BRUCE@JONESMGTREALTY.COM,,CRC-0715 / 01/31/2022,Berkeley / ,PO BOX 129,CHINA GROVE,NC,28023,QUALITY CARE RESIDENTIAL HOME SC LLC,N,N,29,29,-80.04260762,32.99981334,HLRESIDENTIALCARE,589437.5023,3651673.245
QUIET ACRES RETIREMENT HOME,2968 OLD DOUGLAS MILL RD,HODGES,SC,29653-8930,Abbeville,864-446-2264,"MULLINS, STEPHANIE PH#: 864-446-2264",JOYMULL4@CS.COM,JOYMULL4@CS.COM,CRC-0588 / 05/31/2022,Abbeville / Limited Liability,173 MAGGIE LN,ABBEVILLE,SC,29620,PROMISES KEPT CUSTOMER SERVICE LLC,N,N,10,12,-82.32191099,34.26798662,HLRESIDENTIALCARE,378305.0914,3792660.996
QUILLEN MANOR,709 QUILLEN AVE,FOUNTAIN INN,SC,29644-9444,Greenville,864-601-1440, PH#: ,LOUISG@GARRARDINC.COM,,CRC-1321 / 06/30/2022,Greenville / Limited Liability,709 QUILLEN AVE,FOUNTAIN INN,SC,29644-9462,QUILLEN MANOR LLC,Y,Y,78,78,-82.20011309,34.70782334,HLRESIDENTIALCARE,390097.0021,3841297.997
RAPHA RESIDENTIAL CARE INC,3959 FISH HATCHERY RD,GASTON,SC,29053-9038,Lexington,803-755-6541,"UNTHANK, RUSSELL A. PH#: 803-939-3000",RAPHAED@ATT.NET,RUNTHANK@PRUITTHEALTH.COM,CRC-1283 / 04/30/2022,Lexington / Limited Liability Limited Partnership,3959 FISH HATCHERY RD,GASTON,SC,29053-9038,MASTERMIND LIMITED PARTNERSHIP LLP,N,N,92,92,-81.14900256,33.84168791,HLRESIDENTIALCARE,486214.4564,3744612.856
REESE'S COMMUNITY CARE HOME #1,1203 E MULLER AVE,COLUMBIA,SC,29203-5926,Richland,803-786-1843,"REESE, JAMES PH#: 803-786-1843",SHARON12357@GMAIL.COM,SHARON12357@GMAIL.COM,CRC-0053 / 03/31/2022,Richland / Corporation,1203 E MULLER AVE,COLUMBIA,SC,29203-5926,REESE'S COMMUNITY CARE HOME INC,N,N,8,9,-81.03369287,34.04519002,HLRESIDENTIALCARE,496890.1855,3767167.088
REESE'S COMMUNITY CARE HOME #2,717 CINDY DR,COLUMBIA,SC,29203-5205,Richland,803-609-2629, PH#: ,SHARON12357@GMAIL.COM,,CRC-0054 / 03/31/2022,Richland / Sole Proprietorship,717 CINDY DR,COLUMBIA,SC,29203-5205,REESE'S COMMUNITY CARE HOME INC,N,N,5,7,-80.98559742,34.07162002,HLRESIDENTIALCARE,501328.9297,3770097.203
REFLECTIONS AT CAROLINA FOREST,219 MIDDLEBURG DR,MYRTLE BEACH,SC,29579-3409,Horry,843-903-0700, PH#: ,CHELSEA@REFLECTIONSASSISTEDLIVING.COM,,CRC-1456 / 11/30/2021,Horry / Corporation,219 MIDDLEBURG DR,MYRTLE BEACH,SC,29579-3409,REFLECTIONS AT CAROLINA FOREST INC,Y,Y,42,42,-78.95798294,33.7625952,HLRESIDENTIALCARE,689114.261,3737706.882
REID HOUSE,117 DODD ST,WELLFORD,SC,29385-9475,Spartanburg,864-949-5120,"DANIELS, KEISHA G. PH#: 864-949-5120",KDANIELS@THE-REIDHOUSE.COM,KDANIELS@THE-REIDHOUSE.COM,CRC-1463 / 03/31/2022,Spartanburg / Corporation,117 DODD ST,WELLFORD,SC,29385-9475,REID HOUSE,N,N,42,42,-82.10312949,34.94627611,HLRESIDENTIALCARE,399269.7022,3867640.804
REID'S RESIDENTIAL CARE FACILITY,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,Spartanburg,864-439-9238,"DANIELS, JUDY C. PH#: 864-439-9238",ADMIN@REIDSRCF.COM,ADMIN@REIDSRCF.COM,CRC-0771 / 05/31/2022,Spartanburg / Sole Proprietorship,726 OLD SPARTANBURG HWY,WELLFORD,SC,29385-9668,JUDY DANIELS,N,N,23,23,-82.10362168,34.94578194,HLRESIDENTIALCARE,399224.1521,3867586.495
RENAISSANCE,19 FRANK PRESSLEY DR,DUE WEST,SC,29639,Abbeville,864-379-2570,"MATTHEW, JOHNSON PH#: 000-000-0000",DLITTLE3@MINDSPRING.COM,,CRC-1207 / 12/31/2021,Abbeville / Corporation,PO BOX 6384,SPARTANBURG,SC,29304-6384,RENAISSANCE LLC,N,N,20,20,-82.396697,34.330066,HLRESIDENTIALCARE,371514.4618,3799637.3
RESIDENCES AT PARK PLACE,115 GILLESPIE RD,SENECA,SC,29678-1126,Oconee,864-882-0783,"HICKS, KYLE L. PH#: 864-882-0783",KHICKS@MSAHEALTHCARE.COM,KHICKS@MSA-CORP.COM,CRC-1493 / 08/31/2021,Oconee / Corporation,PO BOX 609,LEXINGTON,SC,29071-0609,AMERICAN SENIOR LIVING COMMUNITIES INC,Y,Y,100,,-82.98719769,34.68523578,HLRESIDENTIALCARE,317960.2989,3839934.706
RESTING PLACE 2,207 E SHOCKLEY FERRY RD,ANDERSON,SC,29624-3731,Anderson,864-905-1768, PH#: ,0911BEAUTYJ@GMAIL.COM,,CRC-2176 / 10/31/2021,Anderson / Limited Liability,,,,,RESTING PLACE 2 LLC,N,N,10,,-82.64407,34.481302,HLRESIDENTIALCARE,349027.9553,3816750.343
RETREAT AT CAROLINA BAY,1340 CAROLINA BAY BLVD,HARTSVILLE,SC,29550,Darlington,843-845-1563, PH#: ,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-2043 / 02/28/2022,Darlington / Limited Liability,10933 CRABAPPLE RD,ROSWELL,GA,30075,PINE TREE HILL AL LLC,Y,Y,60,,-80.10641276,34.36623947,HLRESIDENTIALCARE,582166.2272,3803126.796
RETREAT AT EASLEY,123 COUCH LN,EASLEY,SC,29642-1916,Pickens,864-859-3303, PH#: ,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-1274 / 01/31/2022,Pickens / Limited Liability,123 COUCH LN,EASLEY,SC,29642-1916,CARE RSL EASLEY OPCO LP,N,N,56,56,-82.55887099,34.81856972,HLRESIDENTIALCARE,357431.0026,3854030.996
RETREAT AT GAFFNEY,101 PARK CT,GAFFNEY,SC,29341,Cherokee,864-206-0006, PH#: ,SHELLY.SMITH@PHOENIXSRLIVING.COM,,CRC-1281 / 01/31/2022,Cherokee / Limited Liability Limited Partnership,101 PARK CT,GAFFNEY,SC,29341,CARE RSL GAFFNEY OPCO LP,Y,Y,90,90,-81.6574393,35.09200104,HLRESIDENTIALCARE,440074.3519,3883443.365
RETREAT AT LADYS ISLAND,9 SUNSET BLVD,BEAUFORT,SC,29907,Beaufort,843-379-9502, PH#: ,YOLANDA.HUNTER@PHOENIXSRLIVING.COM,,CRC-1898 / 05/31/2022,Beaufort / Limited Liability,10933 CRABAPPLE RD,ROSWELL,GA,30075,FACTORY CREEK AL LLC,Y,Y,83,,-80.6568186,32.41824722,HLRESIDENTIALCARE,532267.3909,3586848.581
RETREAT AT SUMMERVILLE,950 TRAVELERS BLVD,SUMMERVILLE,SC,29485-8213,Dorchester,843-832-8481, PH#: ,JACKIE.MAGNES@PHOENIXSRLIVING.COM,,CRC-0859 / 01/31/2022,Dorchester / ,950 TRAVELERS BLVD,SUMMERVILLE,SC,29485-8213,CARE RSL SUMMERVILLE OPCO LP,Y,Y,53,53,-80.16834349,32.9649049,HLRESIDENTIALCARE,577721.7511,3647703.248
RICE ESTATE - ASSISTED LIVING,100 FINLEY RD,COLUMBIA,SC,29203-9264,Richland,803-691-5720, PH#: ,DAMODIO@RICEESTATE.ORG,,CRC-1075 / 03/31/2022,Richland / Non-Profit Corporation,100 FINLEY RD,COLUMBIA,SC,29203-9264,LUTHERAN HOMES OF SOUTH CAROLINA INC,N,N,40,50,-80.96480344,34.10702486,HLRESIDENTIALCARE,503246.2441,3774023.344
RIDGEVIEW COMMUNITY CARE HOMES UNIT A,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,"DAUGHERTY, PATRICIA L. PH#: 864-877-8599",RIDGEVIEW1@MSN.COM,RIDGEVIEW1@MSN.COM,CRC-0559 / 01/31/2022,Greenville / Corporation,217 CHANDLER RD,GREER,SC,29651-1290,RIDGEVIEW COMMUNITY CARE HOMES INC,N,N,11,11,-82.23437161,34.95716095,HLRESIDENTIALCARE,387299.8559,3868988.034
RIDGEVIEW COMMUNITY CARE HOMES UNIT B,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,"DAUGHERTY, PATRICIA L. PH#: 864-877-8599",RIDGEVIEW1@MSN.COM,RIDGEVIEW1@MSN.COM,CRC-0560 / 01/31/2022,Greenville / Corporation,217 CHANDLER RD,GREER,SC,29651-1290,RIDGEVIEW COMMUNITY CARE HOMES INC,N,N,10,10,-82.23437051,34.95716095,HLRESIDENTIALCARE,387299.9558,3868988.033
RIDGEVIEW COMMUNITY CARE HOMES UNIT C,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,"DAUGHERTY, PATRICIA L. PH#: 864-877-8599",RIDGEVIEW1@MSN.COM,RIDGEVIEW1@MSN.COM,CRC-0561 / 01/31/2022,Greenville / Corporation,217 CHANDLER RD,GREER,SC,29651-1290,RIDGEVIEW COMMUNITY CARE HOMES INC,N,N,11,11,-82.23436951,34.95716095,HLRESIDENTIALCARE,387300.047,3868988.031
RIDGEVIEW COMMUNITY CARE HOMES UNIT D,217 CHANDLER RD,GREER,SC,29651-1290,Greenville,864-877-8599,"DAUGHERTY, PATRICIA L. PH#: 864-877-8599",RIDGEVIEW1@MSN.COM,RIDGEVIEW1@MSN.COM,CRC-0562 / 01/31/2022,Greenville / Corporation,217 CHANDLER RD,GREER,SC,29651-1290,RIDGEVIEW COMMUNITY CARE HOMES INC,N,N,11,11,-82.23436967,34.95716998,HLRESIDENTIALCARE,387300.0451,3868989.033
RILEY'S RESIDENTIAL CARE HOME,2327 BRIAN CHRISTOPHER RD,GREAT FALLS,SC,29055-8844,Chester,803-482-3290,"GOODE-RILEY, BEVERLY PH#: 803-482-3290",BPRILEY09@YAHOO.COM,BPRILEY09@YAHOO.COM,CRC-0900 / 10/31/2021,Chester / Sole Proprietorship,2327 BRIAN CHRISTOPHER RD,GREAT FALLS,SC,29055-8844,"GOODE-RILEY, BEVERLY",N,N,10,10,-80.93398362,34.59984869,HLRESIDENTIALCARE,506053.2837,3828671.248
RIVER PARK SENIOR LIVING,190 RIVER PARK DR,LITTLE RIVER,SC,29566,Horry,843-741-0082,"JACKSON, TOMMY PH#: 843-741-0082",DLITTLE3@MINDSPRING.COM,ED@RIVERPARKASSISTEDLIVING.COM,CRC-1962 / 02/28/2022,Horry / Limited Liability,PO BOX 6384,SPARTANBURG,SC,29304-6384,CR RIVER PARK LLC,Y,Y,90,,-78.64787852,33.86999466,HLRESIDENTIALCARE,714981.7527,3750467.879
ROCKHAVEN COMMUNITY CARE HOME,524 ROCKHAVEN DR,COLUMBIA,SC,29223-7805,Richland,803-699-5361,"BARNES, RICHIE D. PH#: 803-699-5361",RBARNES3469@GMAIL.COM,RBARNES3469@GMAIL.COM,CRC-0800 / 01/31/2022,Richland / Sole Proprietorship,524 ROCKHAVEN DR,COLUMBIA,SC,29223-7805,RICHIE D BARNES,N,N,10,12,-80.9419179,34.11177268,HLRESIDENTIALCARE,505356.7211,3774550.747
ROLLING GREEN VILLAGE ASSISTED LIVING FACILITY,1 HOKE SMITH BLVD OFC,GREENVILLE,SC,29615-5399,Greenville,864-987-9800,"TOERNER, RYAN PH#: 864-987-9800","RYANT@ROLLINGGREENVILLAGE.COM",RYANT@ROLLINGGREENVILLAGE.COM,CRC-0573 / 03/31/2022,Greenville / Non-Profit Corporation,1 HOKE SMITH BLVD OFC,GREENVILLE,SC,29615-5399,ROLLING GREEN VILLAGE,Y,Y,52,74,-82.26442352,34.84160464,HLRESIDENTIALCARE,384394.0759,3856206.693
ROSECREST COMMUNITY RESIDENTIAL CARE,200 FORTRESS DR,INMAN,SC,29349-9160,Spartanburg,864-599-8600,"YETTER, MELISSA PH#: 864-599-8600",MYETTER@LHOMES.ORG,MYETTER@LHOMES.ORG,CRC-1208 / 07/31/2021,Spartanburg / Non-Profit Corporation,200 FORTRESS DR,INMAN,SC,29349-9160,LUTHERAN HOMES OF SOUTH CAROLINA INC,Y,Y,45,59,-82.02765435,35.03863685,HLRESIDENTIALCARE,406267.2134,3877810.398
ROSEWOOD ASSISTED LIVING,5221 HWY 215,PAULINE,SC,29374-1908,Spartanburg,864-573-4060,"CLOBES, KIMBERLY H. PH#: 864-573-4060",WIJG38@GMAIL.COM,WIJG38@GMAIL.COM,CRC-1367 / 11/30/2021,Spartanburg / Ltd. Liability,PO BOX 35,PAULINE,SC,29374-0035,ROSEWOOD ASSISTED LIVING LLC,N,N,75,75,-81.862549,34.825553,HLRESIDENTIALCARE,421123.3482,3854036.937
ROUSE COMMUNITY CARE HOME #1,102 BALLENTON RD,COLUMBIA,SC,29203-9073,Richland,803-788-1753,"ROUSE, CHARLENE E. PH#: 803-788-1753",MATRICEROUSE@AOL.COM,MATRICEROUSE@GMAIL.COM,CRC-0327 / 12/31/2021,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,8,9,-80.96080405,34.109663,HLRESIDENTIALCARE,503615.0027,3774315.995
ROUSE COMMUNITY CARE HOME #2,8809 WILSON BLVD,COLUMBIA,SC,29203-1817,Richland,803-786-9357,"ROUSE, MATRICE PH#: 803-786-9357",MATRICEROUSE@AOL.COM,,CRC-0328 / 12/31/2021,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,9,10,-80.98722796,34.11104622,HLRESIDENTIALCARE,501177.9331,3774468.747
ROUSE COMMUNITY CARE HOME #3,9316 WILSON BLVD,COLUMBIA,SC,29203-9769,Richland,803-754-5720,"ROUSE, CHARLENE E. PH#: 803-754-5720",MATRICEROUSE@AOL.COM,MATRICEROUSE@AOL.COM,CRC-0238 / 09/30/2021,Richland / Corporation,PO BOX 134,STATE PARK,SC,29147-0134,ROUSE COMMUNITY CARE HOME INC,N,N,10,11,-80.99178088,34.12869932,HLRESIDENTIALCARE,500757.8712,3776426.082
ROYAL HILL COMMUNITY RESIDENTIAL CARE FACILITY,310 E MAIN ST BLD B,KINGSTREE,SC,29556,Williamsburg,843-355-1300,"PASLEY, LISHA B. PH#: 843-355-1300",ASHCOURTCOMPANIONCARE@YAHOO.COM,ASHCOURTCOMPANIONCARE@YAHOO.COM,CRC-1946 / 05/31/2022,Williamsburg / Limited Liability,310 E MAIN ST BLDG B,KINGSTREE,SC,29556,ROYAL HILL COMMUNITY RESIDENTIAL CARE FACILITY LLC,N,N,5,,-79.825641,33.664828,HLRESIDENTIALCARE,608876.666,3725612.361
RUDNICK CRCF,629 CHESTERFIELD ST,AIKEN,SC,29801-4053,Aiken,803-642-1041,"DUNBAR, REPUNZEL PH#: 803-642-1041",RDUNBAR@AIKENTDC.ORG,RDUNBAR@AIKENTDC.ORG,CRC-1429 / 02/28/2022,Aiken / Corporation,PO BOX 698,AIKEN,SC,29802-0698,TRI-DEVELOPMENT CENTER OF AIKEN COUNTY INC,N,N,8,8,-81.71417825,33.57123981,HLRESIDENTIALCARE,433717.0035,3714845.995
RUMPH'S RESIDENTIAL CARE,574 PROGRESSIVE WAY,DENMARK,SC,29042-1873,Bamberg,803-793-0068,"COLLINS, SEBRINA C. PH#: 803-793-0068",SEBRINA.COLLINS@YAHOO.COM,SEBRINA.COLLINS@YAHOO.COM,CRC-0791 / 11/30/2021,Bamberg / Corporation,PO BOX 383,DENMARK,SC,29042-0383,RUMPH'S RESIDENTIAL CARE INC,N,N,8,8,-81.13860519,33.32298903,HLRESIDENTIALCARE,487099.4582,3687103.04
S&S BOARDING HOME LLC,3589 BLUFF RD,ALLENDALE,SC,29810-4139,Allendale,803-573-7006,"HIERS, BARBARA M. PH#: 803-573-7006",ESABB@ALLENDALECOUNTY.COM,SMAN151@YAHOO.COM,CRC-1923 / 10/31/2021,Allendale / Sole Proprietorship,3629 BLUFF RD,ALLENDALE,SC,29810,"SABB, ELAINE",N,N,5,,-81.31986722,33.00543152,HLRESIDENTIALCARE,470121.1048,3651934.515
SANDERS CRCF,625 CHESTERFIELD ST,AIKEN,SC,29801-4053,Aiken,803-642-1044,"DUNBAR, REPUNZEL M. PH#: 803-642-1044",MHALL@AIKENTDC.ORG,RDUNBAR@AIKENTDC.ORG,CRC-1430 / 02/28/2022,Aiken / Corporation,PO BOX 698,AIKEN,SC,29802-0698,TRI-DEVELOPMENT CENTER OF AIKEN COUNTY INC,N,N,8,8,-81.7143048,33.57090537,HLRESIDENTIALCARE,433705.0016,3714808.996
SANDPIPER COURTYARD ASSISTED LIVING,1047 ANNA KNAPP BLVD,MOUNT PLEASANT,SC,29464-3133,Charleston,843-884-7977,"STINSON, DURENA A. PH#: 843-884-7977",DURENASTINSON@SANDPIPERCENTER.COM,,CRC-1325 / 09/30/2021,Charleston / Limited Liability,211 RIVER LANDING DR,DANIEL ISLAND,SC,29492,SANDPIPER INDEPENDENT AND ASSISTED LIVING-DELAWARE LLC,N,N,64,64,-79.86390196,32.80954881,HLRESIDENTIALCARE,606359.8719,3630745.246
SAVANNAH HALL ASSISTED LIVING,1010 LAKE HUNTER CIR,MOUNT PLEASANT,SC,29464-5417,Charleston,843-888-2030,"CARR, JOSEPH J. PH#: 843-388-2030",LICENSING@5SSL.COM,JCARR@5SSL.COM,CRC-1431 / 06/30/2022,Charleston / Limited Liability,"400 CENTRE ST, LICENSING DEPT",NEWTON,MA,02458-2094,SNH SE SG TENANT LLC,Y,Y,16,28,-79.86188389,32.81399277,HLRESIDENTIALCARE,606543.5073,3631239.962
SAVANNAH PLACE,1501 SECESSIONVILLE RD,CHARLESTON,SC,29412-8236,Charleston,843-762-1396,"GRANT, ETHELEE PH#: ",EGRANT@ENLIVANT.COM,,CRC-1410 / 11/30/2021,Charleston / Limited Liability,330 N WABASH AVE STE 3700,CHICAGO,IL,60611-7605,SAVANNAH AID OPCO LLC,N,N,44,44,-79.95764677,32.71078022,HLRESIDENTIALCARE,597691.0022,3619704.996
SC EPISCOPAL HOME AT STILL HOPES (CRCF),1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,Lexington,803-796-6490,"ROBERTSON, NIKKI W. PH#: 803-739-5043",NROBERTSON@STILLHOPES.ORG,NROBERTSON@STILLHOPES.ORG,CRC-0144 / 07/31/2021,Lexington / Corporation,1 STILL HOPES DR,WEST COLUMBIA,SC,29169-7164,SOUTH CAROLINA EPISCOPAL HOME AT STILL HOPES INC,Y,Y,46,71,-81.06182115,33.98582944,HLRESIDENTIALCARE,494290.0026,3760586.497
SECESSIONVILLE COMMUNITY RESIDENCE,1217 SECESSIONVILLE RD,CHARLESTON,SC,29412-9749,Charleston,843-762-2134, PH#: ,ETURNER@DSNCC.COM,,CRC-1287 / 12/31/2021,Charleston / State,PO BOX 22708,CHARLESTON,SC,29413-2708,DISABILITIES BOARD OF CHARLESTON COUNTY,N,N,8,8,-79.95657524,32.72229006,HLRESIDENTIALCARE,597778.8713,3620981.997
