Facility Name,License Number,State Facility Type 2 Literal,Address,City,State,Zip Code,County,Phone Number,State Facility Type 1 Literal,Capacity,Date Accessed
Pinnacle Health & Rehab Residential Care,PND38606,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,26 PLEASANT ST,Canton,ME,04221-3144,Oxford,+1 (207) 597-2510,ASSISTED HOUSING,67,7/12/21
"Pittsfield Community Care, Llc",PND2235,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,554 N MAIN ST,Pittsfield,ME,04967-3703,Somerset,+1 (207) 487-7063,ASSISTED HOUSING,16,7/12/21
Pittston Cla,PNC849,PNMI LEVEL III RESIDENTIAL CARE FACILITY,39 PATTERSON RD,Pittston,ME,04345-6639,Kennebec,+1 (207) 582-2044,ASSISTED HOUSING,3,7/12/21
Plant Assisted Living Services,ALP1708,ASSISTED LIVING PROGRAM,1 WASHINGTON ST,Bath,ME,04530-1634,Sagadahoc,+1 (207) 443-2244,ASSISTED HOUSING,37,7/12/21
Pleasant Hill Road,RCC1973,LEVEL III RESIDENTIAL CARE FACILITY,48 PLEASANT HILL RD,Brunswick,ME,04011-7425,Cumberland,+1 (207) 504-5679,ASSISTED HOUSING,6,7/12/21
Pleasant Meadows Estates,PND1342,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,137 PARK ST,Dover Foxcroft,ME,04426-3761,Piscataquis,+1 (207) 564-2444,ASSISTED HOUSING,29,7/12/21
Pleasant Street Apartments,RCA38698,LEVEL I RESIDENTIAL CARE FACILITY,93 PLEASANT ST,Norway,ME,04268-5058,Oxford,+1 (207) 743-0618,ASSISTED HOUSING,2,7/12/21
Pleasant Street Group Home,PNC38846,PNMI LEVEL III RESIDENTIAL CARE FACILITY,407 PLEASANT ST,Rockland,ME,04841-5308,Knox,+1 (207) 594-8960,ASSISTED HOUSING,3,7/12/21
Pleasant Street Home,RCC38699,LEVEL III RESIDENTIAL CARE FACILITY,93 PLEASANT ST,Norway,ME,04268-5058,Oxford,+1 (207) 743-0181,ASSISTED HOUSING,4,7/12/21
Pleasant Street Services,PNC977,PNMI LEVEL III RESIDENTIAL CARE FACILITY,73 PLEASANT ST,Waterville,ME,04901-5456,Kennebec,+1 (207) 873-1741,ASSISTED HOUSING,6,7/12/21
Pleasant Street Unit 1,RCA39118,LEVEL I RESIDENTIAL CARE FACILITY,50 PLEASANT ST APT 1,Westbrook,ME,04092-4490,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Pleasant Street Unit 2,RCA39119,LEVEL I RESIDENTIAL CARE FACILITY,50 PLEASANT ST APT 2,Westbrook,ME,04092-4490,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Pleasant Street Unit 3,RCA39120,LEVEL I RESIDENTIAL CARE FACILITY,50 PLEASANT ST APT 3,Westbrook,ME,04092-4490,Cumberland,+1 (207) 847-2273,ASSISTED HOUSING,2,7/12/21
Poland Road,RCA39032,LEVEL I RESIDENTIAL CARE FACILITY,649 POLAND RD,Auburn,ME,04210-3825,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
Poland Spring Road,RCC860,LEVEL III RESIDENTIAL CARE FACILITY,28 POLAND SPRING RD,Auburn,ME,04210-8388,Androscoggin,+1 (207) 783-9031,ASSISTED HOUSING,3,7/12/21
Pond Point Park,RCA39045,LEVEL I RESIDENTIAL CARE FACILITY,18 HAINES DR,Bowdoin,ME,04287-7753,Sagadahoc,+1 (207) 666-5766,ASSISTED HOUSING,2,7/12/21
Pond Road,RCA39114,LEVEL I RESIDENTIAL CARE FACILITY,575 POND RD,Standish,ME,04084-5456,Cumberland,+1 (207) 893-8741,ASSISTED HOUSING,2,7/12/21
Port Place Adult Day Program,ADS38789,ADULT DAY SERVICES PROGRAM,280B GANNETT DR,South Portland,ME,04106-6940,Cumberland,+1 (207) 828-0048,ASSISTED HOUSING,30,7/12/21
Portland Center For Assisted Living,PND863,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,68 DEVONSHIRE ST,Portland,ME,04103-4431,Cumberland,+1 (207) 772-2893,ASSISTED HOUSING,170,7/12/21
Pownal Road,RCC866,LEVEL III RESIDENTIAL CARE FACILITY,1807 POWNAL RD,Auburn,ME,04210-9687,Androscoggin,+1 (207) 783-0017,ASSISTED HOUSING,3,7/12/21
Pratt Foster Home,RCA867,LEVEL I RESIDENTIAL CARE FACILITY,4 BREEZY MEADOWS,Gray,ME,4039,Cumberland,+1 (207) 657-4744,ASSISTED HOUSING,1,7/12/21
Presumpscot Street,RCC39000,LEVEL III RESIDENTIAL CARE FACILITY,440 PRESUMPSCOT ST,Portland,ME,04103-5219,Cumberland,+1 (207) 632-6240,ASSISTED HOUSING,3,7/12/21
Pride House,RCD868,LEVEL IV RESIDENTIAL CARE FACILITY,549 WESTBROOK ST,South Portland,ME,04106-1909,Cumberland,+1 (207) 773-3048,ASSISTED HOUSING,8,7/12/21
Pride Road,RCA39033,LEVEL I RESIDENTIAL CARE FACILITY,34 PRIDE RD,Auburn,ME,04210-3929,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,1,7/12/21
Priors Circle,RCA1773,LEVEL I RESIDENTIAL CARE FACILITY,1 PRIOR CIR,Saco,ME,04072-9623,York,+1 (207) 284-9902,ASSISTED HOUSING,2,7/12/21
Psl Services - Wall Street Program,ALP38787,ASSISTED LIVING PROGRAM,25 WALL ST,Portland,ME,04103-2300,Cumberland,+1 (207) 899-4798,ASSISTED HOUSING,8,7/12/21
Quarry Hill-Anderson Inn,ALP1590,ASSISTED LIVING PROGRAM,30 COMMUNITY DR,Camden,ME,04843-2061,Knox,+1 (207) 921-6100,ASSISTED HOUSING,37,7/12/21
Quarry Road Residential Center,PND874,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,10 QUARRY RD,Waterville,ME,04901-4944,Kennebec,+1 (207) 873-4594,ASSISTED HOUSING,12,7/12/21
Rae Way,RCA39201,LEVEL I RESIDENTIAL CARE FACILITY,16 RAE WAY,Hampden,ME,04444-3242,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Raiche Street,RCA38948,LEVEL I RESIDENTIAL CARE FACILITY,30 RAICHE ST,Lewiston,ME,04240-2522,Androscoggin,+1 (207) 786-3453,ASSISTED HOUSING,2,7/12/21
Rainbow House,RCA38778,LEVEL I RESIDENTIAL CARE FACILITY,279 OLD COUNTY RD,Hampden,ME,04444-1805,Penobscot,+1 (207) 944-5036,ASSISTED HOUSING,2,7/12/21
Ralph Street Residence,PNC881,PNMI LEVEL III RESIDENTIAL CARE FACILITY,18 RALPH ST,Bangor,ME,04401-4438,Penobscot,+1 (207) 945-4188,ASSISTED HOUSING,6,7/12/21
Randolph House,RCA885,LEVEL I RESIDENTIAL CARE FACILITY,15 WINDSOR ST,Randolph,ME,04346-5201,Kennebec,+1 (207) 588-0602,ASSISTED HOUSING,2,7/12/21
Read Street,PNC38806,PNMI LEVEL III RESIDENTIAL CARE FACILITY,1103 FOREST AVE,Portland,ME,04103-3323,Cumberland,+1 (207) 761-5924,ASSISTED HOUSING,6,7/12/21
Redington Memorial Home,RCD888,LEVEL IV RESIDENTIAL CARE FACILITY,11 NORTH AVE,Skowhegan,ME,04976-1819,Somerset,+1 (207) 474-2444,ASSISTED HOUSING,31,7/12/21
Reef Lane,RCC889,LEVEL III RESIDENTIAL CARE FACILITY,1 REEF LN,Scarborough,ME,04074-9092,Cumberland,+1 (207) 885-1349,ASSISTED HOUSING,3,7/12/21
Remeliah House,RCD890,LEVEL IV RESIDENTIAL CARE FACILITY,10 MAHAR LN,Calais,ME,04619-1202,Washington,+1 (207) 454-3972,ASSISTED HOUSING,8,7/12/21
"Residence At Gray Birch, The",PND22503,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,37 GRAY BIRCH DR,Augusta,ME,04330-6105,Kennebec,+1 (207) 621-7100,ASSISTED HOUSING,37,7/12/21
"Residence At Tall Pines, The",ALP2160,ASSISTED LIVING PROGRAM,24 MARTIN LN,Belfast,ME,04915-6099,Waldo,+1 (207) 930-7031,ASSISTED HOUSING,30,7/12/21
Richmond Eldercare,PND1088,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,18 HATHORN ST,Richmond,ME,04357-1161,Sagadahoc,+1 (207) 737-8911,ASSISTED HOUSING,16,7/12/21
Ridgewood Estates,PND1670,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,480 RIDGEVIEW AVE,Madawaska,ME,04756-1649,Aroostook,+1 (207) 728-6324,ASSISTED HOUSING,52,7/12/21
Ridley Road,RCC2250,LEVEL III RESIDENTIAL CARE FACILITY,139 RIDLEY RD,Sanford,ME,04073-6216,York,+1 (207) 850-1212,ASSISTED HOUSING,3,7/12/21
Rising Hill,PND2256,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,95 ACCESS HWY,Limestone,ME,04750-6300,Aroostook,+1 (207) 325-4771,ASSISTED HOUSING,36,7/12/21
Riverside At Chase Point,PND903,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,51 SCHOONER ST,Damariscotta,ME,04543-4055,Lincoln,+1 (207) 563-4200,ASSISTED HOUSING,18,7/12/21
Riverside Drive House,PNC38635,PNMI LEVEL III RESIDENTIAL CARE FACILITY,780 RIVERSIDE DR APT B,Augusta,ME,04330-8307,Kennebec,+1 (207) 626-7557,ASSISTED HOUSING,5,7/12/21
Riverstone Ranch,RCA39044,LEVEL I RESIDENTIAL CARE FACILITY,1 CONARY LN,Warren,ME,04864-4218,Knox,+1 (207) 273-2126,ASSISTED HOUSING,2,7/12/21
Riverview,RCA39145,LEVEL I RESIDENTIAL CARE FACILITY,10 RIVERVIEW RD,Bath,ME,04530-1632,Sagadahoc,+1 (207) 386-5162,ASSISTED HOUSING,2,7/12/21
Riverview House,RCC2188,LEVEL III RESIDENTIAL CARE FACILITY,3 RIVERVIEW LANE,Addison,ME,4606,Washington,+1 (207) 483-4772,ASSISTED HOUSING,3,7/12/21
Riverwood Ranch,RCC906,LEVEL III RESIDENTIAL CARE FACILITY,1270 OYSTER RIVER RD,Warren,ME,04864-4245,Knox,+1 (207) 273-3369,ASSISTED HOUSING,4,7/12/21
Robbinston Bridge Home,RCD1911,LEVEL IV RESIDENTIAL CARE FACILITY,736 ROUTE 1,Robbinston,ME,4671,Washington,+1 (207) 952-0240,ASSISTED HOUSING,8,7/12/21
Robert And Mary'S Place,ADS1537,ADULT DAY SERVICES PROGRAM,50 MEADOW VIEW LN STE 35,Ellsworth,ME,04605-1547,Hancock,+1 (207) 667-5449,ASSISTED HOUSING,30,7/12/21
Robins Nest Boarding Home,PNC910,PNMI LEVEL III RESIDENTIAL CARE FACILITY,203 MAIN ST,Warren,ME,04864-4233,Knox,+1 (207) 273-3345,ASSISTED HOUSING,4,7/12/21
Rochelle Street,RCA38940,LEVEL I RESIDENTIAL CARE FACILITY,28A ROCHELLE ST,Auburn,ME,04210-4268,Androscoggin,+1 (207) 784-6333,ASSISTED HOUSING,2,7/12/21
Rockland House,PNC38886,PNMI LEVEL III RESIDENTIAL CARE FACILITY,252 RANKIN ST,Rockland,ME,04841-2347,Knox,+1 (207) 596-0029,ASSISTED HOUSING,4,7/12/21
Rocky Coast Group Home,RCC38700,LEVEL III RESIDENTIAL CARE FACILITY,269 TOWNSEND AVE,Boothbay Harbor,ME,04538-1802,Lincoln,+1 (207) 633-3504,ASSISTED HOUSING,4,7/12/21
Rocky Road,RCA39314,LEVEL I RESIDENTIAL CARE FACILITY,24A ROCKY RD,Hebron,ME,04238-3584,Oxford,+1 (207) 966-1014,ASSISTED HOUSING,2,7/12/21
Roosevelt Trail,RCA39065,LEVEL I RESIDENTIAL CARE FACILITY,273 ROOSEVELT TRL,Windham,ME,04062-4461,Cumberland,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Rose,RCC38992,LEVEL III RESIDENTIAL CARE FACILITY,445 MAIN ST APT D,Biddeford,ME,04005-2142,York,+1 (207) 284-8569,ASSISTED HOUSING,3,7/12/21
Rose Of Sharon/Haven Of Rest 1,RCC1637,LEVEL III RESIDENTIAL CARE FACILITY,984 N MAIN ST,Winterport,ME,04496-3404,Waldo,+1 (207) 223-5528,ASSISTED HOUSING,6,7/12/21
Rosewood Cottage,RCC39043,LEVEL III RESIDENTIAL CARE FACILITY,9 ALISON LN,Damariscotta,ME,04543-4246,Lincoln,+1 (207) 563-3530,ASSISTED HOUSING,3,7/12/21
Rosswood,RCA38892,LEVEL I RESIDENTIAL CARE FACILITY,2 WALKER ST APT 3.103,Westbrook,ME,04092-2998,Cumberland,+1 (207) 591-5036,ASSISTED HOUSING,2,7/12/21
Round Hill,PNC38687,PNMI LEVEL III RESIDENTIAL CARE FACILITY,1 ROUND HILL ST,Biddeford,ME,04005-3715,York,+1 (207) 284-8270,ASSISTED HOUSING,4,7/12/21
Round Pond Green,RCC2036,LEVEL III RESIDENTIAL CARE FACILITY,1410 STATE ROUTE 32,Round Pond,ME,04564-3618,Lincoln,+1 (207) 529-6000,ASSISTED HOUSING,6,7/12/21
Rumford Community Home I I,PND22625,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,11 JOHN F KENNEDY LN,Rumford,ME,04276-3636,Oxford,+1 (207) 364-7863,ASSISTED HOUSING,53,7/12/21
Running Tide Drive,RCC927,LEVEL III RESIDENTIAL CARE FACILITY,22 RUNNING TIDE DR,Scarborough,ME,04074-9088,Cumberland,+1 (207) 282-8387,ASSISTED HOUSING,3,7/12/21
Russell Park Residential Care,PND22627,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,158 RUSSELL ST,Lewiston,ME,04240-6027,Androscoggin,+1 (207) 786-0691 x102,ASSISTED HOUSING,53,7/12/21
Ruth Avenue,RCA39188,LEVEL I RESIDENTIAL CARE FACILITY,57 RUTH AVE,Hampden,ME,04444-1521,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
S & S Foster Home,RCB932,LEVEL II RESIDENTIAL CARE FACILITY,344 MAIN ST,Van Buren,ME,04785-1327,Aroostook,+1 (207) 868-2674,ASSISTED HOUSING,4,7/12/21
Sabattus Street,RCA39330,LEVEL I RESIDENTIAL CARE FACILITY,211 SABATTUS ST,Lewiston,ME,04240-6348,Androscoggin,+1 (207) 312-5186,ASSISTED HOUSING,1,7/12/21
Safe Haven At St. Andrews Village,RCD38860,LEVEL IV RESIDENTIAL CARE FACILITY,145 EMERY LN,Boothbay Harbor,ME,04538-1963,Lincoln,+1 (207) 633-0920,ASSISTED HOUSING,11,7/12/21
Sam L. Cohen Center,ADS38604,ADULT DAY SERVICES PROGRAM,30 BARRA RD,Biddeford,ME,04005-9459,York,+1 (207) 396-6500,ASSISTED HOUSING,50,7/12/21
Sam L. Cohen Households,ALP39060,ASSISTED LIVING PROGRAM,650 OCEAN AVE,Portland,ME,04103-2704,Cumberland,+1 (207) 221-7000,ASSISTED HOUSING,20,7/12/21
Sand Road Waiver,RCC38838,LEVEL III RESIDENTIAL CARE FACILITY,18 SAND RD,Newport,ME,04953-3463,Penobscot,+1 (207) 368-4972,ASSISTED HOUSING,3,7/12/21
Sandy Brook Home,RCC939,LEVEL III RESIDENTIAL CARE FACILITY,81 HOULTON RD,Danforth,ME,4424,Washington,+1 (207) 448-3180,ASSISTED HOUSING,4,7/12/21
Sandy Creek,RCC38777,LEVEL III RESIDENTIAL CARE FACILITY,119 SANDY CREEK RD,Bridgton,ME,04009-4135,Cumberland,+1 (207) 808-5030 x1311,ASSISTED HOUSING,5,7/12/21
Sanfield Rehab & Living Center,RCD22631,LEVEL IV RESIDENTIAL CARE FACILITY,95 MAIN ST,Hartland,ME,4943,Somerset,+1 (207) 938-2616,ASSISTED HOUSING,12,7/12/21
Sarah Frye Home,PND945,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,751 WASHINGTON ST N,Auburn,ME,04210-3882,Androscoggin,+1 (207) 784-7242,ASSISTED HOUSING,36,7/12/21
Sawyer Road,RCA39208,LEVEL I RESIDENTIAL CARE FACILITY,291 SAWYER RD,Hampden,ME,04444-3230,Penobscot,+1 (207) 862-2643,ASSISTED HOUSING,2,7/12/21
Sawyer Street House,PND1567,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,388 SAWYER ST,South Portland,ME,04106-3960,Cumberland,+1 (207) 799-0637,ASSISTED HOUSING,8,7/12/21
Scarborough Terrace,RCD954,LEVEL IV RESIDENTIAL CARE FACILITY,600 COMMERCE DR,Scarborough,ME,04074-7305,Cumberland,+1 (207) 885-5568,ASSISTED HOUSING,77,7/12/21
School Street,ALP38807,ASSISTED LIVING PROGRAM,11 SCHOOL ST,Saco,ME,04072-3360,York,+1 (207) 284-8583,ASSISTED HOUSING,7,7/12/21
School Street Home,RCC955,LEVEL III RESIDENTIAL CARE FACILITY,40 SCHOOL ST,Sanford,ME,04073-3019,York,+1 (207) 324-1607,ASSISTED HOUSING,5,7/12/21
Schooner Assisted Living Program,ALP1700,ASSISTED LIVING PROGRAM,200 STETSON RD,Auburn,ME,04210-6458,Androscoggin,+1 (207) 784-2900,ASSISTED HOUSING,145,7/12/21
Schooner Estates Residential Care,PND978,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,200 STETSON RD,Auburn,ME,04210-6458,Androscoggin,+1 (207) 784-2900,ASSISTED HOUSING,9,7/12/21
Schooner Memory Care,PND39025,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,180 STETSON ROAD,Auburn,ME,,,+1 (207) 784-2900,ASSISTED HOUSING,66,7/12/21
Sea Haven At Harbor Place,PNC39132,PNMI LEVEL III RESIDENTIAL CARE FACILITY,80 HIGH ST UNIT B,Belfast,ME,04915-6250,Waldo,+1 (207) 522-2388,ASSISTED HOUSING,6,7/12/21
Sentry Hill At York Harbor,PND1212,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,2 VICTORIA CT,York,ME,03909-1455,York,+1 (207) 363-5116,ASSISTED HOUSING,54,7/12/21
Sentry Hill Congregate Housing,ALP969,ASSISTED LIVING PROGRAM,2 VICTORIA CT,York,ME,03909-1455,York,+1 (207) 363-5116,ASSISTED HOUSING,31,7/12/21
Seth Jordan House,PNC761,PNMI LEVEL III RESIDENTIAL CARE FACILITY,39 OBRION ST,Portland,ME,04101-4411,Cumberland,+1 (207) 874-1084,ASSISTED HOUSING,6,7/12/21
Seventy Five State Street,PND975,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,75 STATE ST,Portland,ME,04101-3746,Cumberland,+1 (207) 772-2675,ASSISTED HOUSING,69,7/12/21
Seventy Six Bradley Street,PNC976,PNMI LEVEL III RESIDENTIAL CARE FACILITY,76 BRADLEY ST,Lewiston,ME,04240-6302,Androscoggin,+1 (207) 786-0900,ASSISTED HOUSING,6,7/12/21
Sewall Street Home,RCC783,LEVEL III RESIDENTIAL CARE FACILITY,13 SEWALL STREET,Island Falls,ME,4747,Aroostook,+1 (207) 463-2823,ASSISTED HOUSING,4,7/12/21
Shalom-Woodford Street,PNC38810,PNMI LEVEL III RESIDENTIAL CARE FACILITY,503 WOODFORD ST,Portland,ME,04103-2439,Cumberland,+1 (207) 878-5022,ASSISTED HOUSING,6,7/12/21
Shalom-Woodford Street Assisted Living,ALP38812,ASSISTED LIVING PROGRAM,503 WOODFORD ST,Portland,ME,04103-2439,Cumberland,+1 (207) 878-5022,ASSISTED HOUSING,2,7/12/21
Shared Living Group Home,PNC979,PNMI LEVEL III RESIDENTIAL CARE FACILITY,468 CORINNA RD,Saint Albans,ME,04971-7008,Somerset,+1 (207) 938-4005,ASSISTED HOUSING,6,7/12/21
"Shaw House, The",PND1701,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,257 SOUTH ST,Biddeford,ME,04005-2154,York,+1 (207) 283-1011,ASSISTED HOUSING,20,7/12/21
Sheri'S Haven,RCC38668,LEVEL III RESIDENTIAL CARE FACILITY,33 JAMES ST,Bangor,ME,04401-4634,Penobscot,+1 (207) 951-7134,ASSISTED HOUSING,6,7/12/21
Shin Pond Road Home,RCC1882,LEVEL III RESIDENTIAL CARE FACILITY,219 SHIN POND RD,Patten,ME,04765-3124,Penobscot,+1 (207) 528-2917,ASSISTED HOUSING,3,7/12/21
Shirley Drinkwater Home - 1,RCC986,LEVEL III RESIDENTIAL CARE FACILITY,289 MEADOW STREET,Rockport,ME,4856,Knox,+1 (207) 236-0626,ASSISTED HOUSING,3,7/12/21
Shirley Drinkwater Home - 2,RCA987,LEVEL I RESIDENTIAL CARE FACILITY,289 MEADOW ST,Rockport,ME,4856,Knox,+1 (207) 236-0626,ASSISTED HOUSING,2,7/12/21
Sky - Hy Adult Day Care,ADS994,ADULT DAY SERVICES PROGRAM,32 SKY HY DR,Topsham,ME,04086-5772,Sagadahoc,+1 (207) 725-7577,ASSISTED HOUSING,48,7/12/21
Skyhaven,PND995,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,2 AIRPORT DR,Presque Isle,ME,04769-2041,Aroostook,+1 (207) 764-0759,ASSISTED HOUSING,10,7/12/21
Slg Down,RCA38985,LEVEL I RESIDENTIAL CARE FACILITY,8 SOPHIE LN,Gorham,ME,04038-1871,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,1,7/12/21
Slg Main,RCA38973,LEVEL I RESIDENTIAL CARE FACILITY,8 SOPHIE LN,Gorham,ME,04038-1871,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Slg Up,RCA38984,LEVEL I RESIDENTIAL CARE FACILITY,8 SOPHIE LN,Gorham,ME,04038-1871,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,1,7/12/21
Smith Avenue,RCA39064,LEVEL I RESIDENTIAL CARE FACILITY,1 SMITH AVE,Standish,ME,,,+1 (207) 937-8260,ASSISTED HOUSING,2,7/12/21
Smith'S Foster Home,RCB999,LEVEL II RESIDENTIAL CARE FACILITY,913 DEPOT ST,Waldoboro,ME,04572-5905,Lincoln,+1 (207) 832-4579,ASSISTED HOUSING,2,7/12/21
Snowe,RCC38739,LEVEL III RESIDENTIAL CARE FACILITY,13 SHORT BENNETT RD,New Gloucester,ME,04260-3842,Cumberland,+1 (207) 808-5030 x1311,ASSISTED HOUSING,6,7/12/21
Somerset House,PND38650,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,395 WATERVILLE RD,Norridgewock,ME,04957-3004,Somerset,+1 (207) 634-2569,ASSISTED HOUSING,8,7/12/21
Somerset Rehab & Living Center,RCD22638,LEVEL IV RESIDENTIAL CARE FACILITY,43 OWENS ST,Bingham,ME,04920-4008,Somerset,+1 (207) 672-4041,ASSISTED HOUSING,13,7/12/21
Soucy'S Foster Home,RCB1006,LEVEL II RESIDENTIAL CARE FACILITY,101 BERRY AVE,Van Buren,ME,04785-1443,Aroostook,+1 (207) 868-7777,ASSISTED HOUSING,5,7/12/21
South Bay Manor,RCD2181,LEVEL IV RESIDENTIAL CARE FACILITY,44 S BAY RD,Franklin,ME,04634-3140,Hancock,+1 (207) 565-3805,ASSISTED HOUSING,8,7/12/21
South Belfast Road House I,PNA1833,PNMI LEVEL I RESIDENTIAL CARE FACILITY,31A S BELFAST RD,Windsor,ME,04363-3402,Kennebec,+1 (207) 445-3951,ASSISTED HOUSING,2,7/12/21
South Belfast Road House Ii,PNA1835,PNMI LEVEL I RESIDENTIAL CARE FACILITY,31B S BELFAST RD,Windsor,ME,04363-3402,Kennebec,+1 (207) 445-3964,ASSISTED HOUSING,2,7/12/21
South Belfast Road House Iii,PNA1836,PNMI LEVEL I RESIDENTIAL CARE FACILITY,31C S BELFAST RD,Windsor,ME,04363-3402,Kennebec,+1 (207) 445-3958,ASSISTED HOUSING,2,7/12/21
South China House,PNC1971,PNMI LEVEL III RESIDENTIAL CARE FACILITY,44 ROUTE 3,South China,ME,04358-5059,Kennebec,+1 (207) 445-3165,ASSISTED HOUSING,3,7/12/21
South Main,RCA39031,LEVEL I RESIDENTIAL CARE FACILITY,194 S MAIN ST,Auburn,ME,04210-6659,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
South Main Hud,RCA39034,LEVEL I RESIDENTIAL CARE FACILITY,196 S MAIN ST,Auburn,ME,04210-6659,Androscoggin,+1 (207) 782-2726,ASSISTED HOUSING,2,7/12/21
South Main Street House,PNC38788,PNMI LEVEL III RESIDENTIAL CARE FACILITY,81 S MAIN ST,Athens,ME,04912-4612,Somerset,+1 (207) 622-5946,ASSISTED HOUSING,5,7/12/21
"Southern Acres Residential Care, Inc.",PND38718,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,203 TWEEDIE RD,Westfield,ME,04787-3216,Aroostook,+1 (207) 429-9231,ASSISTED HOUSING,30,7/12/21
Southern Harbor House,RCC38729,LEVEL III RESIDENTIAL CARE FACILITY,12 PULPIT HARBOR RD,North Haven,ME,04853-3104,Knox,+1 (207) 867-2345,ASSISTED HOUSING,6,7/12/21
Southridge Rehab & Living Center,RCD22642,LEVEL IV RESIDENTIAL CARE FACILITY,10 MAY ST,Biddeford,ME,04005-2923,York,+1 (207) 282-4138,ASSISTED HOUSING,46,7/12/21
Spectrum Generations Adult Day Break Program,ADS1752,ADULT DAY SERVICES PROGRAM,30 LEAVITT ST,Skowhegan,ME,04976-1843,Somerset,+1 (207) 242-0179,ASSISTED HOUSING,30,7/12/21
Spiller Park Apartments,RCC1009,LEVEL III RESIDENTIAL CARE FACILITY,12 DAY RD,Gorham,ME,04038-1856,Cumberland,+1 (207) 774-6323,ASSISTED HOUSING,6,7/12/21
Spring Street,RCC2097,LEVEL III RESIDENTIAL CARE FACILITY,28 SPRING ST,Brunswick,ME,04011-2313,Cumberland,+1 (207) 504-5678,ASSISTED HOUSING,5,7/12/21
Spring Street Apartment,RCA39072,LEVEL I RESIDENTIAL CARE FACILITY,9 SPRING ST UNIT A,Norway,ME,04268-5603,Oxford,+1 (207) 743-8049 x202,ASSISTED HOUSING,1,7/12/21
Springwater,RCA39178,LEVEL I RESIDENTIAL CARE FACILITY,9 SPRING WATER DR,Windham,ME,04062-4287,Cumberland,+1 (207) 835-0099,ASSISTED HOUSING,2,7/12/21
Spurwink Jeanne Street,RCC38709,LEVEL III RESIDENTIAL CARE FACILITY,50 JEANNE ST,Portland,ME,04102-1825,Cumberland,+1 (207) 797-2512,ASSISTED HOUSING,3,7/12/21
Spurwink Pleasant Lake House,RCC38867,LEVEL III RESIDENTIAL CARE FACILITY,990 MEADOW RD,Casco,ME,4015,,+1 (207) 615-6264,ASSISTED HOUSING,5,7/12/21
Spurwink Victoria Drive,RCC38633,LEVEL III RESIDENTIAL CARE FACILITY,114 VICTORIA DR,Westbrook,ME,04092-2047,Cumberland,+1 (207) 797-2512,ASSISTED HOUSING,3,7/12/21
Spurwink Walnut Street,RCC39136,LEVEL III RESIDENTIAL CARE FACILITY,134 WALNUT ST,South Portland,ME,04106-4731,Cumberland,,ASSISTED HOUSING,5,7/12/21
Ssw Back,RCA38979,LEVEL I RESIDENTIAL CARE FACILITY,119 SACO ST,Westbrook,ME,04092-2714,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
Ssw Front,RCA38978,LEVEL I RESIDENTIAL CARE FACILITY,119 SACO ST,Westbrook,ME,04092-2714,Cumberland,+1 (207) 878-9663,ASSISTED HOUSING,2,7/12/21
"St. Joseph Memory Care, Inc.",PND2386,PNMI LEVEL IV RESIDENTIAL CARE FACILITY,426 US ROUTE 1,Frenchville,ME,04745-6155,Aroostook,+1 (207) 543-6648,ASSISTED HOUSING,40,7/12/21
St. Jude'S Foster Home,RCB1020,LEVEL II RESIDENTIAL CARE FACILITY,123 WRIGHT ST,Van Buren,ME,04785-1350,Aroostook,+1 (207) 868-5180,ASSISTED HOUSING,4,7/12/21
