Speciality,contract,Check_Type,LicenseNumber,LocationNumber,FacInstanceId,FacilityType,FacilityName,FacilityStatus,LocationAddress,LocationCity,LocationState,LocationZipCode,LocationCounty,MailAddress,MailCity,MailState,MailZipCode,TelephoneNmbr,FaxNmbr,ConfidentialFaxNmbr,RCSRegionUnit,SpecialityCode,ContractCode,FacilityPOC,LicensedBedCount,LicenseExpirationDate,CheckCompleteDate,CheckType,Has Reports?,Reports Location
None,No Contract,,1793,60001793,30922,BH  ,SILVER CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,OP    ,17607 91ST AVENUE E,PUYALLUP,WA,98375,Pierce,3425 Boone Rd SE,SALEM,OR,97317,(253) 875-8644,,(253) 846-6787,3D,,,"Torres, Cheryl ",104,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1793
None,Assisted Living SOW,,2382,60000885,44145,BH  ,SOUND VISTA VILLAGE,OP    ,6633 McDonald Ave,Gig Harbor,WA,98335,Pierce,2020 A St SE Suite 101,Auburn,WA,98002,(253) 851-9929,(253) 858-3892,,3D,,1002XP-12 ,"Mecartea, Lynne D. ",36,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2382
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2160,60008938,41821,BH  ,"Spring Ridge Retirement, LLC",OP    ,6856 E Portland Ave,Tacoma,WA,98404,Pierce,6856 E Portland Ave,Tacoma,WA,98404,(253) 474-1093,,(253) 474-0662,3D,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Wyse, Michelle ",75,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2160
None,No Contract,,1375,60008786,30633,BH  ,STAFFORD SUITES,OP    ,15519 62nd Street Ct E,Sumner,WA,98390,Pierce,15519 62nd Street Ct E,Sumner,WA,98390,(253) 862-1818,,(253) 862-5464,3D,,,"Preis, Tina ",77,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1375
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2360,60009584,43894,BH  ,The Cottages at Edgewood,OP    ,2510 Meridian Ave East,Edgewood,WA,98372,Pierce,2510 Meridian Ave East,Edgewood,WA,98372,(253) 881-1435,(253) 904-8839,,3D,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Severa, James ",60,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2360
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2418,60009605,44294,BH  ,The Cottages at University Place,OP    ,5417 64th St W,University Place,WA,98467,Pierce,5417 64th St W,University Place,WA,98467,(253) 301-3817,(253) 503-6248,,3D,,"1027XS-12 , 1006XP-12 ","Reynolds, Melissa ",60,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2418
None,Assisted Living SOW,,2064,60009539,40085,BH  ,The Lodge at Mallard's Landing,OP    ,7083 Wagner Way NW,Gig Harbor,WA,98335,Pierce,7083 Wagner Way NW,Gig Harbor,WA,98335,(253) 858-4990,,(253) 858-4993,3D,,1002XP-12 ,"Johns, David ",136,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2064
None,No Contract,,2483,60007035,45243,BH  ,"The Rivers at Puyallup, Independent Living & Assisted Living",OP    ,123 4th Ave NW,Puyallup,WA,98371,Pierce,17330 Preston Rd Ste 240B,Dallas,Tx,75252,(425) 803-6911,,(253) 848-5961,3D,,,"Bachman, Bonnie ",120,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2483
None,"Enhanced Adult Residential Care, Adult Residential Care",,2558,60000918,46607,BH  ,The Village Retirement and Assisted Living,OP    ,4707 S Orchard St,Tacoma,WA,98466,Pierce,4707 S Orchard St,Tacoma,WA,98466,(253) 475-4707,,(253) 475-4707,3D,,"1006XP-12 , 1007XP-12 ","Strand, Lincoln G. ",110,9/30/21 0:00,,,No, 
None,"Expanded Community Services, Enhanced Adult Residential Care",,2518,60009636,45399,BH  ,Trouves St Ann's Inc,OP    ,6602 S Alaska St,Tacoma,WA,98408,Pierce,6602 S Alaska St,Tacoma,WA,98408,(253) 289-5050,(253) 301-3255,,3D,,1036XP-12 ,"Gallucci, Thomas A. ",15,10/31/21 0:00,,,No, 
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2553,60009655,45903,BH  ,Vineyard Park of Puyallup,OP    ,1813 S Meridian St,Puyallup,WA,98371,Pierce,1813 S Meridian St,Puyallup,WA,98371,(206) 232-9680,,(206) 232-9679,3D,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Canada, Marissa ",53,10/31/21 0:00,,,No, 
None,Adult Residential Care,,1014,60000921,30318,BH  ,WALLER ROAD HOME,OP    ,4710 WALLER RD E,TACOMA,WA,98443,Pierce,4710 WALLER RD E,TACOMA,WA,98443,(253) 922-2550,(253) 517-5828,,3D,,1007XP-12 ,"Arenas, Gerilyn ",9,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1014
None,No Contract,,1577,60000926,30773,BH  ,WEATHERLY INN,OP    ,6016 N Highlands Parkway,Tacoma,WA,98406,Pierce,6016 N Highlands Parkway,Tacoma,WA,98406,(253) 752-8550,(253) 752-2206,(253) 830-3728,3D,,,"Pontius, Bryan ",140,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1577
None,No Contract,,2520,60009651,45735,BH  ,Wesley Homes Bradley Park LLC,OP    ,707 39th Ave SE,Puyallup,WA,98374,Pierce,707 39th Ave SE,Puyallup,WA,98374,(253) 435-8100,,,3D,,,"Fraser, TC (Thomas) ",23,10/31/21 0:00,,,No, 
None,No Contract,,1996,60009519,39441,BH  ,VILLAGE AT THE HARBOUR,OP    ,543 SPRING ST,FRIDAY HARBOR,WA,98250,San Juan,543 SPRING ST,FRIDAY HARBOR,WA,98250,(360) 378-7144,(360) 378-7146,,2A,,,"Perrollaz, Evan G. ",36,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1996
None,No Contract,,1948,60008783,39086,BH  ,Ashley Gardens of Mt Vernon,OP    ,3807 E College Way,Mount Vernon,WA,98273,Skagit,3807 E College Way,Mount Vernon,WA,98273,(360) 419-9422,,(360) 336-9256,2A,,,"Fisher, Helen U. ",40,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1948
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2559,60008935,46461,BH  ,Birchview Memory Care Community,OP    ,925 Dunlop St,Sedro Woolley,WA,98284,Skagit,925 Dunlop St,Sedro Woolley,WA,98284,(360) 856-1911,,(360) 856-2379,2A,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Beausoleil, Laura ",61,1/31/22 0:00,,,No, 
None,No Contract,,1190,60001190,30483,BH  ,CHANDLER'S SQUARE,OP    ,1300 O AVE,ANACORTES,WA,98221,Skagit,1300 O AVE,ANACORTES,WA,98221,(360) 293-1300,,(360) 293-3923,2A,,,"Scott, Tammy ",37,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1190
None,Assisted Living SOW,,1020,60006370,30323,BH  ,COUNTRY MEADOW VILLAGE,OP    ,1501 COLLINS RD,SEDRO WOOLLEY,WA,98284,Skagit,2020 A St SE Suite 101,Auburn,WA,98002,(360) 856-0404,,(360) 856-5545,2A,,1002XP-12 ,"Jensen, Sandra A. ",50,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1020
None,Assisted Living SOW,,2316,60008853,43652,BH  ,Creekside Continuing Care Community,OP    ,400 Gilkey Rd,Burlington,WA,98233,Skagit,400 Gilkey Rd,Burlington,WA,98233,(360) 755-5550,,(360) 755-9098,2A,,1002XP-12 ,"Bowman, Catherine ",101,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2316
None,Enhanced Adult Residential Care,,2527,60009610,46032,BH  ,Cypress Assisted Living Inc,OP    ,911 21st St,Anacortes,WA,98221,Skagit,911 21st St,Anacortes,WA,98221,(360) 293-7222,,,2A,,1006XP-12 ,"Rezayat, Colby ",48,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2527
None,"Specialized Dementia Care, Enhanced Adult Residential Care",,2508,60008791,45560,BH  ,Homeplace Respite,OP    ,112 N SKAGIT ST,BURLINGTON,WA,98233,Skagit,112 N SKAGIT ST,BURLINGTON,WA,98233,(360) 755-7000,,(360) 755-1702,2A,,"1027XS-12 , 1006XP-12 ","Martin, Wendy ",16,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2508
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Adult Residential Care",,2510,60001154,45558,BH  ,Homeplace Special Care Center at Burlington,OP    ,210 N SKAGIT ST,BURLINGTON,WA,98233,Skagit,210 N SKAGIT ST,BURLINGTON,WA,98233,(360) 755-7000,,(360) 755-1702,2A,,"1027XS-12 , 1006XP-12 , 1007XP-12 ","Martin, Wendy ",46,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2510
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2254,60008737,42272,BH  ,La Conner Retirement Inn,OP    ,204 N 1st St,La Conner,WA,98257,Skagit,PO Box 1087,La Conner,WA,98257,(360) 466-5700,(253) 876-6001,(360) 466-2237,2A,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","James, Christina ",60,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2254
None,No Contract,,2204,60009566,41953,BH  ,LIGHTHOUSE MEMORY CARE,OP    ,3502 K AVENUE,ANACORTES,WA,98221,Skagit,3502 K AVENUE,ANACORTES,WA,98221,(360) 420-9801,,,2A,,,"Willingham, Laura ",39,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2204
None,No Contract,,2328,60000807,42538,BH  ,Mountain Glen Retirement Community,OP    ,1810 E Division St,Mount Vernon,WA,982744633,Skagit,1810 E Division St,Mount Vernon,WA,98274-4633,(360) 424-7900,,(360) 424-8436,2A,,,"Rairigh, Christina ",83,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2328
None,"Expanded Community Services, Enhanced Adult Residential Care, Enhanced Adult Residential Care, Adult Residential Care",,2172,60000830,42004,BH  ,OVENELL HOME ALF INC,OP    ,625 E Washington Ave,Burlington,WA,98233,Skagit,625 E Washington Ave,Burlington,WA,98233,(360) 755-9100,(360) 755-9290,,2A,,"1036XP-12 , 1006XP-12 , 1007XP-12 ","ZIMMERMANN, JOHN ",31,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2172
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2528,60008749,46031,BH  ,Rosario Assisted Living,OP    ,1105 27th St,Anacortes,WA,98221,Skagit,1105 27th St,Anacortes,WA,98221,(360) 293-5752,,,2A,,"1006XP-12 , 1002XP-12 ","Aldrich, Kathleen ",94,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2528
None,No Contract,,1826,60001282,30949,BH  ,THE BRIDGE ASSISTED LIVING AT MOUNT VERNON,OP    ,301 S Laventure Rd,Mount Vernon,WA,98274,Skagit,301 S Laventure Rd,Mount Vernon,WA,98274,(360) 416-0400,(360) 424-1131,,2A,,,"Rogers-Davis, Cheryl ",50,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1826
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2500,60008831,45559,BH  ,Where The Heart Is,OP    ,410 S NORRIS ST,BURLINGTON,WA,98233,Skagit,410 S NORRIS ST,BURLINGTON,WA,98233,(360) 755-8007,,(360) 755-0481,2A,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Hancock, Carla ",84,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2500
None,"Assisted Living SOW, Adult Residential Care",,1254,60008715,30537,BH  ,ROCK COVE ASSISTED LIVING,OP    ,986 SW ROCK CREEK DRIVE,STEVENSON,WA,98648,Skamania,986 SW ROCK CREEK DRIVE,STEVENSON,WA,98648,(509) 427-7272,,(509) 427-2229,3E,,"1002XP-12 , 1007XP-12 ",,36,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1254
None,No Contract,,2345,60000602,42500,BH  ,Aegis Senior Living of Lynnwood,OP    ,18700 44th Ave W,Lynnwood,WA,98037,Snohomish,18700 44th Ave W,Lynnwood,WA,98037,(425) 712-9999,,(425) 744-1506,2A,,,"Domann, Maria ",52,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2345
None,No Contract,,2126,60001279,41245,BH  ,ASHLEY POINTE,OP    ,11117 20TH ST NE,LAKE STEVENS,WA,98258,Snohomish,11117 20TH ST NE,LAKE STEVENS,WA,98258,(425) 397-7500,(425) 374-8064,,2A,,,"James, Christina ",40,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2126
None,Assisted Living SOW,,1346,60008765,30611,BH  ,BETHANY AT SILVER CREST,OP    ,2131 LAKE HEIGHTS DR,EVERETT,WA,98208,Snohomish,2131 LAKE HEIGHTS DR,EVERETT,WA,98208,(425) 385-2335,,(425) 258-5656,2A,,1002XP-12 ,"Tate, Laurie Lee ",58,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1346
None,No Contract,,1700,60008950,30852,BH  ,Brookdale Alderwood,OP    ,18706 36th AVENUE WEST,LYNNWOOD,WA,98037,Snohomish,18706 36th AVENUE WEST,LYNNWOOD,WA,98037,(425) 774-3300,,(425) 771-7999,2A,,,"Adams, Judith A. ",60,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1700
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2278,60008751,42382,BH  ,Brookdale Arbor Place ,OP    ,12806 BOTHELL EVERETT HWY,EVERETT,WA,98208,Snohomish,12806 BOTHELL EVERETT HWY,EVERETT,WA,98208,(425) 338-3227,(425) 357-9678,,2A,,"1006XP-12 , 1002XP-12 ","Jacobs, Gary ",115,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2278
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2285,60001084,42361,BH  ,Brookdale Everett,OP    ,11333 3RD PL W,EVERETT,WA,98204,Snohomish,11333 3RD PL W,EVERETT,WA,98204,(425) 347-0372,(425) 353-5449,,2A,,"1006XP-12 , 1002XP-12 ","Schuermeyer, Christy ",80,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2285
None,No Contract,,2284,60007272,42374,BH  ,Brookdale Monroe,OP    ,15465 179TH AVE SE,MONROE,WA,98272,Snohomish,15465 179TH AVE SE,MONROE,WA,98272,(360) 637-3927,(360) 794-3524,,2A,,,"WILEY, SMITTY ",82,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2284
None,No Contract,,1703,60008739,30855,BH  ,Brookdale Silver Lake,OP    ,2015 LAKE HEIGHTS DR,EVERETT,WA,982086034,Snohomish,2015 LAKE HEIGHTS DR,EVERETT,WA,982086034,(425) 337-6336,,(425) 337-6635,2A,,,"Hickey, Michael E. ",60,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1703
None,No Contract,,2276,60001185,42395,BH  ,Brookdale Stanwood,OP    ,7212 265TH ST NW,STANWOOD,WA,98292,Snohomish,7212 265TH ST NW,STANWOOD,WA,98292,(360) 637-3924,(360) 629-2305,,2A,,,"Sanchez, Marian ",80,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2276
None,"Specialized Dementia Care, Enhanced Adult Residential Care, Assisted Living SOW",,2312,60007384,42466,BH  ,CASCADE VALLEY SENIOR LIVING,OP    ,8400 207TH PL NE,ARLINGTON,WA,98223,Snohomish,8400 207TH PL NE,ARLINGTON,WA,98223,(360) 435-3222,,(360) 435-0343,2A,,"1027XS-12 , 1006XP-12 , 1002XP-12 ","Johnson, Kimberly A. ",80,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2312
None,No Contract,,2453,60009612,44572,BH  ,Cedar Creek Memory Care Community,OP    ,21006 72nd Ave W,Edmonds,WA,98026,Snohomish,21006 72nd Ave W,Edmonds,WA,98026,(425) 678-8001,,(425) 361-2914,2J,,,"Culmore, Christopher J. ",80,6/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2453
None,No Contract,,2229,60008779,41981,BH  ,CHATEAU PACIFIC RETIREMENT COMMUNITY,OP    ,3333 148TH ST SW,LYNNWOOD,WA,98087,Snohomish,3333 148TH ST SW,LYNNWOOD,WA,98087,(425) 787-9693,(425) 970-6378,,2A,,,"Brumell, Carissa ",138,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2229
None,No Contract,,2475,60001200,45280,BH  ,Cogir Mill Creek,OP    ,14905 Bothell Everett Highway,Mill Creek,WA,98012,Snohomish,14905 Bothell Everett Highway,Mill Creek,WA,98012,,,(425) 338-0499,2A,,,"Grenfell, James ",80,2/28/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2475
None,No Contract,,2574,60008848,46736,BH  ,Edmonds Landing Assisted Living Community,OP    ,180 2nd Ave S,Edmonds,WA,98020,Snohomish,180 2nd Ave S,Edmonds,WA,98020,(425) 744-1181,,(425) 744-0172,2J,,,"BROWNE, Gale D. ",83,8/31/21 0:00,,,No, 
None,"Specialized Dementia Care, Expanded Community Services, Enhanced Adult Residential Care",,2423,60001113,44415,BH  ,Everett Heritage Court,OP    ,4230 Colby Ave,Everett,WA,98203,Snohomish,4230 Colby Ave,Everett,WA,98203,(425) 259-7200,,(425) 339-9089,2A,,"1027XS-12 , 1036XP-12 ","Kamau, James N. ",47,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2423
None,"Assisted Living SOW, Adult Residential Care",,1921,60000692,38698,BH  ,EVERETT PLAZA,OP    ,2204 12th St,Everett,WA,98201,Snohomish,2204 12th St,Everett,WA,98201,(425) 258-6408,(425) 258-1858,,2A,,"1002XP-12 , 1007XP-12 ","Hutton, Heidi ",105,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1921
None,No Contract,,1342,60000629,30609,BH  ,FAIRWINDS - BRIGHTON COURT,OP    ,6520 196th St SW,LYNNWOOD,WA,98036,Snohomish,6520 196TH ST SW,LYNNWOOD,WA,98036,(425) 775-4440,,(425) 673-6232,2A,,,"Requa-Hall, Jackie ",65,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1342
None,No Contract,,2538,60009661,46059,BH  ,Fieldstone Memory Care of Marysville,OP    ,11015 State Ave,Marysville,WA,98271,Snohomish,11015 State Ave,Marysville,WA,98271,(360) 244-4180,,,2A,,,"Purdom, Wayne ",70,4/30/22 0:00,,,No, 
None,Enhanced Adult Residential Care,,977,60000721,30289,BH  ,GRANDVIEW VILLAGE RETIREMENT COMMUNITY,OP    ,5800 64TH ST NE,MARYSVILLE,WA,98270,Snohomish,2020 A St SE Suite 101,Auburn,WA,98002,(360) 653-2223,,(360) 653-6328,2A,,1006XP-12 ,"Manibusan, Abigail ",35,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=977
None,No Contract,,2362,60008817,44003,BH  ,Harbour Pointe Retirement & Assisted Living Center,OP    ,10200 HARBOUR PLACE,MUKILTEO,WA,98275,Snohomish,10200 HARBOUR PLACE,MUKILTEO,WA,98275,(425) 493-8555,(425) 493-0279,,2A,,,"Brigance, Angelia ",136,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2362
None,Assisted Living SOW,,569,60000762,30086,BH  ,Josephine Caring Community,OP    ,9901 272nd Pl NW,Stanwood,WA,98292,Snohomish,9901 272ND Pl NW,STANWOOD,WA,98292,(360) 629-2126,,(360) 629-4543,2A,,1002XP-12 ,"Wright, Sheila ",65,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=569
None,No Contract,,2447,60008901,44889,BH  ,MorningStar Senior Living at Silver Lake,OP    ,520 112th St SW,Everett,WA,98204,Snohomish,520 112th St SW,Everett,WA,98204,(425) 906-3818,,(425) 438-1604,2A,,,"Gehner, Heinz J. ",52,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2447
None,No Contract,,2373,60000809,44178,BH  ,Mountlake Terrace Plaza,OP    ,23303 58th Ave W,Mountlake Terrace,WA,98043,Snohomish,23303 58th Ave W,Mountlake Terrace,WA,98043,(425) 672-4673,(425) 776-4879,,2J,,,"Sandell, Rosita ",55,5/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2373
None,Enhanced Adult Residential Care,,2426,60009611,44561,BH  ,Mukilteo Memory Care,OP    ,4686 Pointes Dr,Mukilteo,WA,98275,Snohomish,4686 Pointes Dr,Mukilteo,WA,98275,(425) 267-0808,,,2A,,1006XP-12 ,"Lynn, Elizabeth ",60,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2426
None,Assisted Living SOW,,1995,60009511,39233,BH  ,NORTH CREEK RETIREMENT & ASSISTED LIVING COMMUNITY,OP    ,1907 201ST PLACE SE,BOTHELL,WA,98012,Snohomish,3425 Boone Road SE,Salem,OR,97317,(425) 483-8927,(425) 488-5651,,2J,,1002XP-12 ,"Chambers, Brenda K. ",102,3/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1995
None,Assisted Living SOW,,1712,60008958,30863,BH  ,OLYMPIC PLACE RETIREMENT AND ASSISTED LIVING COMMUNITY,OP    ,20909 Olympic Pl NE,Arlington,WA,98223,Snohomish,3425 Boone Rd SE,SALEM,OR,97317,(360) 435-8440,,(360) 435-8491,2A,,1002XP-12 ,"Tisdel, Nancy ",81,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1712
None,"Enhanced Adult Residential Care, Assisted Living SOW, Adult Residential Care",,2371,60008934,44099,BH  ,Pacifica Senior Living Lynnwood,OP    ,18625 60th Ave W,Lynnwood,WA,98037,Snohomish,18625 60th Ave W,Lynnwood,WA,98037,(425) 771-7700,,(425) 673-5368,2A,,"1006XP-12 , 1002XP-12 , 1007XP-12 ","Valencia, Kathryn M. ",72,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2371
None,Enhanced Adult Residential Care,,2372,60005461,44098,BH  ,Pacifica Senior Living Snohomish,OP    ,1124 Pine Ave,Snohomish,WA,98290,Snohomish,1124 Pine Ave,Snohomish,WA,98290,(360) 568-1900,,(360) 568-7394,2A,,1006XP-12 ,"Dela Cruz, Venetia ",84,12/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2372
None,No Contract,,2416,60009570,44376,BH  ,Quail Park at Lynnwood,OP    ,4015 164th St SW,Lynnwood,WA,98087,Snohomish,4015 164th St SW,Lynnwood,WA,98087,(425) 640-8529,,(425) 640-8531,2A,,,"LONGWILL, MICHELLE L. ",227,1/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2416
None,No Contract,,1379,60008789,30637,BH  ,ROSEWOOD COURTE MEMORY CARE COMMUNITY,OP    ,728 EDMONDS WAY,EDMONDS,WA,98020,Snohomish,728 EDMONDS WAY,EDMONDS,WA,980205126,(425) 673-2875,,(425) 673-5276,2J,,,"SHEPARD, MARY ",46,4/30/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=1379
None,No Contract,,2203,60009565,41939,BH  ,SCRIBER GARDENS LLC,OP    ,6024 200TH ST SW,LYNNWOOD,WA,98036,Snohomish,6024 200TH ST SW,LYNNWOOD,WA,98036,(425) 673-7111,(425) 673-7175,,2A,,,"Straw, Shaye ",39,8/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2203
None,"Enhanced Adult Residential Care, Assisted Living SOW",,2253,60001121,42265,BH  ,South Pointe Assisted Living,OP    ,10330 4th Ave W,Everett,WA,98204,Snohomish,10330 4th Ave W,Everett,WA,98204,(425) 513-5645,,,2A,,"1006XP-12 , 1002XP-12 ","Bolex, Casey ",38,10/31/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2253
None,No Contract,,2162,60008970,41859,BH  ,SUNRISE OF EDMONDS,OP    ,750 EDMONDS WAY,EDMONDS,WA,98020,Snohomish,750 EDMONDS WAY,EDMONDS,WA,98020,(425) 673-9700,(866) 573-9110,,2J,,,"Batiste, Kristina B. ",76,11/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2162
None,No Contract,,2343,60000687,43884,BH  ,Sunrise of Lynnwood,OP    ,21500 72nd Ave W,Edmonds,WA,98026,Snohomish,21500 72nd Ave W,Edmonds,WA,98026,(425) 776-3600,(866) 397-6702,,2J,,,"Kreeger, Loretta D. ",70,9/30/21 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=2343
None,Enhanced Adult Residential Care,,792,60000895,30170,BH  ,SUNRISE VIEW RETIREMENT VILLA,OP    ,2520 Madison St,Everett,WA,98203,Snohomish,2520 Madison St,Everett,WA,98203,(425) 353-4040,,(425) 356-2235,2A,,1006XP-12 ,"Lopes, Diane A. ",65,7/31/22 0:00,,,Yes,https://fortress.wa.gov/dshs/adsaapps/lookup/BHForms.aspx?Lic=792
